0,B***R*,BIFERE
1,**S****V*S*,GESTAPOVIST
2,*O***A**,ROUREALĂ
3,***P*P****E,SUBPOPULATE
4,*****I*ÂI,MARDEIAÂI
5,****NZ*N**,RECENZENTĂ
6,Â*M***,ÂAMOTA
7,*******O**E*,PAGINATOAREI
8,T*L*,TOLE
9,T*R*,TERȚ
10,L****T,LĂRGIT
11,*E-V***,DE-VINĂ
12,E*C*,EICĂ
13,*MP**,ÎMPLE
14,D**E****E*E,DUREROASELE
15,*L****J*,CLAUBAJE
16,*EI***E*EI,BEIZADELEI
17,*U*****E*,BULBOANEI
18,*E*U**E*E**,DEGUISEMENT
19,*A**O**A*,TAHEOGRAF
20,**O*E**O****E,PROTEINOGRAME
21,*O**LO******LO*,CONGLOMERATELOR
22,***IG*,STRIGA
23,M******Ă,METAARTĂ
24,*Ă***I,TĂRANI
25,S******R*,SPECULĂRI
26,******IS*,ECUMENISM
27,*LA*******,BLASFEMURI
28,A**I*I*IA*I*A**A,ARTIFICIALITATEA
29,**A*A*I,PLANAȚI
30,S***IS*,SLAVIST
31,T*CT**C*,TECTRICE
32,***I****I******EI,RAȚIONALIZATOAREI
33,*******A*Ă,HONDURIANĂ
34,**I*P**I*I,CRIOPATIEI
35,***O*O*****E,INCOMODITATE
36,SA*******,SALINIFER
37,*E*E*I*,MEZELIC
38,********ZA,DELIRICIZA
39,****E***Ă,LICHELUȚĂ
40,*E**NE*,PERINEL
41,**R**T******,PERMUTAȚIUNE
42,LA**A***,LAMPAGII
43,*N*E*EN**E,ÎNȚEPENIRE
44,DE*E****E*,DECERNAREA
45,*O****E,BOLTIȚE
46,*B*****I,OBSERVAI
47,*E***L**,SEMNALĂM
48,****Ă***Z,ÎNSCĂUNEZ
49,E**ER****,ESTERULUI
50,*EV***E****V,NEVINDECATIV
51,S******U,SENZORIU
52,****RM*,ABNORME
53,U****I-**,UNELTI-RE
54,L*P****,LUPĂRIE
55,********UN***,OBLIGAȚIUNILE
56,DA**A,DACIA
57,M*N*******,MONOCITOZĂ
58,**T***O***,PETIȚIONEZ
59,***N*EN*E,ABUNDENTE
60,**L**LO*,CULTELOR
61,*E****ZE*Z*,SECURIZEAZĂ
62,*TR**T*R***,STRÂMTOREZE
63,**A*A**R,PLANATOR
64,**T****TE*E,MOTOSCUTERE
65,***I**N*I,ALBIGENZI
66,*R*I*R*,TREIERA
67,*****A**Z*AZ*,NOMINALIZEAZĂ
68,A***G*****,AUTOGENEZĂ
69,*OO*Ă,ZOOZĂ
70,*R**Ă,BREVĂ
71,M*****E***,MOBILIERUL
72,*U****O*******,LUETINOREACȚII
73,*N*IN**,ÎNTINDE
74,**T*O**O*******,RETROPROPAGAREA
75,IN*I*NI*****,INDIANIZEAZĂ
76,*I***L,PINEAL
77,T****E*,TOCULEȚ
78,T**I*T***,TRĂISTUȚE
79,**M*A*A***,COMPARATIV
80,*ODO*O***,PODOLOGIC
81,*E**O*****E,LEUCOSAFIRE
82,GE****,GENUNI
83,***M**E*E,TRIMISESE
84,*A*E,RASE
85,*****T**TAT,NECONTESTAT
86,E****R***E*,EXPLORAȚIEI
87,AP*A*******,APLATIZĂRII
88,P********Ă,PRÂNZEASCĂ
89,*****F*R**,ESOCIFORME
90,*****ILI,JAZOFILI
91,***G**II,ALEGORII
92,AM**********A,AMPRENTOLOGIA
93,O*N***,OLNIȚE
94,**IMI********,CRIMINOGENEZĂ
95,****ĂR*,EGALĂRI
96,LI*I***,LINIARĂ
97,*I*I***I*TI,FIZICALIÂTI
98,A*I*****A*II,ARISTOCRAȚII
99,**M***G*,FUMUIAGE
