0,18,ICONOGRAFĂ,OK,C E L O P U G T M B I D J F Ă S H N
1,15,FAGOCITUL,OK,B J R I D Z U F E L O N M G T
2,5,APICOLILOR,OK,A I O L R
3,12,HIPOPLAZII,OK,A B L C M E G P T I R Z
4,5,PROHODI,OK,G P R D I
5,8,CIOPLEA,OK,A C U O M S I E
6,11,COVÂRȘITELOR,OK,A D Z C O Â R T E Ș L
7,17,PÂRGUIRILE,OK,A N D R C F M L I E Ț O Ă S T Â G
8,10,BURGHIERILE,OK,A P C N I L B U G H
9,9,SAMAVOLNICII,OK,C O P N U S A V L
10,15,CĂȘĂIEȘTE,OK,C L U N Z H M V P R S E Â Ș I
11,4,SISALUL,OK,N I L U
12,5,CINERARIILE,OK,C I N E L
13,16,DEZAGLOMERĂM,OK,C L I N P E F D T H Î O G M Z Ă
14,8,TETRODĂ,OK,A C D O L N T E
15,18,MÂNJITURII,OK,A C D L O N B Â Z F I T E P J G Ă M
16,12,DESOFISTICĂRII,OK,A R O T G N D C I Z S Ă
17,6,TĂIERI,OK,A B E I N Ă
18,8,GENTILEȚILOR,OK,C G E N T Ț O R
19,12,NENOROCITUL,OK,A O M P R T F N L E B U
20,20,ÎNAINTĂ,OK,A G M P R E B S O U D C Ă F Â L H N V Î
21,13,ISTMICUL,OK,A B C E V D N M I R Z S T
22,9,ASCUȚITUNGHICUL,OK,A S Ț I T N G H L
23,6,OBNUBILĂRILOR,OK,B N U I L R
24,7,BUMBĂCELULUI,OK,B U M A E L I
25,13,POSTĂVĂRIILE,OK,B U C Â I O P E A S T V L
26,21,CENTROZOMUL,OK,A B C S N T R I H P U F O M Ă D Ș Ț V G Z
27,13,DEBAVURASE,OK,A B O R E T G I C V N P D
28,17,VRAMIȚE,OK,A C U M P Ă T Â E H N B O S D R Ț
29,14,RETORI,OK,A F U N P S E R B Â C M Ă O
30,9,EPISTOLARELOR,OK,C F E P S T O A R
31,9,ÎNCHIABUREAȚI,OK,Î N C I A U R E Ț
32,8,LAMINATOAREA,OK,A B M I N T O R
33,20,PLATINEZ,OK,A B S C G M R P L I O D Â T Ă U F H Î N
34,12,ȚĂNDĂRELEI,OK,A B N E O U C Ț I P Ă L
35,19,TEVATURI,OK,B C D F G V Ă M N T O Â I E Z L P S U
36,7,FIDANȚATA,OK,A I N G U Ț T
37,13,EXONDĂRILE,OK,B C D I F M N T X A O R Ă
38,12,DECOMANDATĂ,OK,C L O I D E N Ț S R T Ă
39,12,OMAGIALI,OK,A Ă E I B C O R Z Î N G
40,13,STÂLPISEM,OK,A C G R S T U D I N Â L M
41,4,ELFILOR,OK,F I O R
42,7,DECONCERTANTELE,OK,D E O N R T L
43,16,GAGICULUI,OK,A C T B O D F J M N P R V Â L G
